CASRN,SMILES
108087,CC(C)CC(C)C
100185,CC(C)C1=CC=C(C=C1)C(C)C
127195,CC(=O)N(C)C
100641,C1CCC(=NO)CC1
126216,C[C@]12CC[C@H](C1)C(C2=O)(C)C
592778,CCCCC=CC
95169,C1=CC=C2C(=C1)N=CS2
78922,CCC(C)O
111159,CCOCCOC(=O)C
79094,CCC(=O)O
100447,C1=CC=C(C=C1)CCl
764487,C=COCCO
,CCCCC#C
7778850,CC(COC)OC
107302,COCCl
75627,C1=CC=C2C=CC=CC2=C1
102692,CCCN(CCC)CCC
,C(#N)Cl
119437,CCC(C1=CC=CC=C1)C(=O)OCC
5137451,CCOCCOC
374072,C(C(F)(Cl)Cl)(F)(F)F
491350,CC1=CC=NC2=CC=CC=C12
75445,C(=O)(Cl)Cl
100527,C1=CC=C(C=C1)C=O
2696926,N(=O)Cl
352329,C1=CC=C(C=C1)F
141797,CC(=CC(=O)C)C
,C/C=C/C=O
,CCC#CC
110452,CC(C)CCOC=O
563791,CC(=C(C)C)C
75638,C(F)(F)(F)Br
,C#CC=O
7756947,CC(=CC(C)(C)CC(C)(C)C)C
506309,CCCCCCCCCCCCCCCCCCCC(=O)O
64175,CCO
120821,C1=CC(=C(C=C1Cl)Cl)Cl
106978,CCCC
106423,CC1=CC=C(C=C1)C
513860,CC(C(=O)C)O
80568,CC1=CCC2CC1C2(C)C
107153,C(CN)N
105602,C1CCC(=O)NCC1
1736432,CCCCOCC(C)C
108907,C1=CC=C(C=C1)Cl
3852093,COCCC(=O)OC
646311,CCCCCCCCCCCCCCCCCCCCCCCC
555442,CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC
108952,C1=CC=C(C=C1)O
100436,C=CC1=CC=NC=C1
98851,CC(C1=CC=CC=C1)O
,CN(C)C#N
105679,CC1=CC(=C(C=C1)O)C
1120214,CCCCCCCCCCC
78819,CC(C)CN
112141,CCCCCCCCOC(=O)C
143248,COCCOCCOCCOCCOC
3678157,C=COCC1CO1
132649,C1=CC=C2C(=C1)C3=CC=CC=C3O2
96479,CC1CCCO1
75832,CCC(C)(C)C
108441,CC1=CC(=CC=C1)N
,CCC/C=C\CCC
76120,C(C(F)(Cl)Cl)(F)(Cl)Cl
143077,CCCCCCCCCCCC(=O)O
,CCCCCCCC/C=C\CCCCCCCC(=O)O
112925,CCCCCCCCCCCCCCCCCCO
104905,CCC1=CN=C(C=C1)C
78706,CC(=CCCC(C)(C=C)O)C
97881,CCCCOC(=O)C(=C)C
589344,CCCC(=O)CC
627021,CCOCC(C)C
74895,CN
74953,C(Br)Br
,CC(=C)C#C
112061,CCCCCCCOC(=O)C
75150,C(=S)=S
2314978,C(F)(F)(F)I
111773,COCCOCCO
1192229,CCC1C(O1)(C)C
74986,CCC
57103,CCCCCCCCCCCCCCCC(=O)O
,CCCC#N
105373,CCC(=O)OCC
765128,C=COCCOCCOCCOC=C
110747,CCCOC=O
95501,C1=CC=C(C(=C1)Cl)Cl
79209,CC(=O)OC
99876,CC1=CC=C(C=C1)C(C)C
776352,C1CC2=CC=CC=C2C3=CC=CC=C31
623427,CCCC(=O)OC
,C(CCl)OCCCl
597499,CCC(CC)(CC)O
123397,CNC=O
142290,C1CC=CC1
95681,CC1=CC(=C(C=C1)N)C
60355,CC(=O)N
943931,C1CC=CCCC2C(O2)CCC=C1
79107,C=CC(=O)O
112367,CCOCCOCCOCC
115184,CC(C)(C=C)O
64186,C(=O)O
109999,C1CCOC1
111262,CCCCCCN
3221612,CCCCCCC(C)C
79414,CC(=C)C(=O)O
75081,CCS
95476,CC1=CC=CC=C1C
107108,CCCN
25650,CC(C)(C)O
64197,CC(=O)O
931919,C1(C(C1(F)F)(F)F)(F)F
355044,C(C(C(C(F)(F)F)(F)F)(F)F)(C(F)(F)F)(C(F)(F)F)F
106945,CCCBr
462953,CCOCOCC
578585,CC1=CC=CC=C1OC
112276,C(COCCOCCO)O
98011,C1=COC(=C1)C=O
112492,COCCOCCOCCOC
622457,CC(=O)OC1CCCCC1
101848,C1=CC=C(C=C1)OC2=CC=CC=C2
109591,CC(C)OCCO
,CC#N
75218,C1CO1
149111,CCCCC(CC)C(=O)O
111706,CCCCCCCO
141786,CCOC(=O)C
352932,CCSCC
75898,C(C(F)(F)F)O
115220,CC(=O)C(C)(C)O
507200,CC(C)(C)Cl
123513,CC(C)CCO
1978241,C1(C(C(C(C(OC(C(C1(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F
77736,C1C=CC2C1C3CC2C=C3
51422549,CCOCCOC(C)(C)C
109944,CCOC=O
110623,CCCCC=O
96184,C(C(CCl)Cl)Cl
95932,CC1=CC(=C(C=C1C)C)C
392563,C1(=C(C(=C(C(=C1F)F)F)F)F)F
624895,CCSC
107835,CCCC(C)C
106434,CC1=CC=C(C=C1)Cl
126998,C=CC(=C)Cl
91178,C1CCC2CCCCC2C1
95921,CCOC(=O)C(=O)OCC
25854,CCC(C)(C)O
75730,C(F)(F)(F)F
584021,CCCC(C)O
1071267,CCCCCC(C)(C)C
75285,CC(C)C
107073,C(CCl)O
95363,CC1=C(C(=CC=C1)C)C
108883,CC1=CC=CC=C1
109524,CCCCC(=O)O
74975,C(Cl)Br
78886,C=C(CCl)Cl
76051,C(=O)(C(F)(F)F)O
109864,COCCO
110634,C(CCO)CO
108394,CC1=CC(=CC=C1)O
89805,C[C@@H]1CC[C@H](C(=O)C1)C(C)C
,C(C(F)(F)F)(Cl)Cl
36373,CC1=CC(=CC=C1)[N+](=O)[O-]
56815,C(C(CO)O)O
109739,CCCCN
,C#C
68122,CN(C)C=O
108872,CC1CCCCC1
76153,C(C(F)(F)Cl)(F)(F)F
93583,COC(=O)C1=CC=CC=C1
75036,CCI
873949,CC1CC(=O)CC(C1)(C)C
584021,CCC(CC)O
763291,CCCC(=C)C
110838,C1CCC=CC1
85018,C1=CC=C2C(=C1)C=CC3=CC=CC=C32
540885,CC(=O)OC(C)(C)C
629141,CCOCCOCC
138863,CC1=CC[C@H](CC1)C(=C)C
75718,C(F)(F)(Cl)Cl
,CCCCCC#C
503300,C1COC1
142687,C1CCOCC1
335444,C(C(C(F)(F)F)(Cl)Cl)(C(F)(F)F)(F)Cl
120923,C1CCC(=O)C1
110010,C1=CSC=C1
2679870,CCC(C)OCC
2837890,C(C(F)(F)F)(F)Cl
74851,C=C
108101,CC(C)CC(=O)C
592767,CCCCCC=C
108101,CC(C)CC(C)O
83329,C1CC2=CC=CC3=C2C1=CC=C3
957528,[HH]
74884,CI
65850,C1=CC=C(C=C1)C(=O)O
140114,CC(=O)OCC1=CC=CC=C1
6639301,CC1=CC(=C(C=C1Cl)Cl)Cl
1120565,C=C1CCC1
1634044,CC(C)(C)OC
106887,CCC1CO1
628284,CCCCOC
119368,COC(=O)C1=CC=CC=C1O
105544,CCCC(=O)OCC
135988,CCC(C)C1=CC=CC=C1
598323,CC(C=C)O
544854,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
766154,CC1(CCOCO1)C
110190,CC(C)COC(=O)C
,CCCCCCCC/C=C\CCCCCCCC(=O)OCC
79163,CC(=O)NC
110883,C1OCOCO1
121697,CN(C)C1=CC=CC=C1
87923,C1CCCC1
109659,CCCCBr
75467,C(F)(F)F
127184,C(=C(Cl)Cl)(Cl)Cl
538249,CCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCC
590863,CC(C)CC=O
151677,C(C(F)(F)F)(Cl)Br
76131,C(C(F)(Cl)Cl)(F)(F)Cl
78875,CC(CCl)Cl
104289,C1CCC(CC1)O
142847,CCCNCCC
57147,CN(C)N
91203,C1CCC2=CC=CC=C2C1
75252,C(Br)(Br)Br
540545,CCCCl
354336,C(C(F)(F)F)(F)F
116154,C(=C(F)F)(C(F)(F)F)F
583608,CC1CCCCC1=O
124403,CNC
96479,CC1=CC=CO1
115071,CC=C
,CCCC#C
104938,CC1=CC=C(C=C1)OC
431890,C(C(F)(F)F)(C(F)(F)F)F
1653196,C=C(C(=C)Cl)Cl
75070,CC=O
628637,CCCCCOC(=O)C
100663,COC1=CC=CC=C1
93652,CCCCCOCCCCC
108689,CC1=CC(=CC(=C1)O)C
,CCC/C=C/CCC
93221,CCCCCC1=CC2=CC=CC=C2C=C1
108996,CC1=CN=CC=C1
355044,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F
12602,CC1=CC2=C(C=CC=N2)C=C1
98828,CC(C)C1=CC=CC=C1
1678917,CCC1CCCCC1
112072,CCCCOCCOC(=O)C
107415,CC(CC(C)(C)O)O
691372,CC(C)CC=C
115106,COC
78784,CCC(C)C
563451,CC(C)C=C
79243,CC[N+](=O)[O-]
96140,CCC(C)CC
79298,CC(C)C(C)C
79345,C(C(Cl)Cl)(Cl)Cl
