CASRN,SMILES
135988,CCC(C)C1=CC=CC=C1
119437,CCC(C1=CC=CC=C1)C(=O)OCC
100845,CC1=CC(=CC=C1)OC
517282,CCCCC1CO1
6737117,CC(C=C)OC(=O)C
,C#CC=O
111966,COCCOCCOC
75434,C(F)(Cl)Cl
57556,CC(CO)O
127184,C(=C(Cl)Cl)(Cl)Cl
75070,CC=O
142687,C1CCOCC1
10441573,CN1CCCC1=S
71432,C1=CC=CC=C1
60355,CC(=O)N
25854,CCC(C)(C)O
627087,CCCOC(C)C
71363,CCCCO
628819,CCCCOCC
6290499,COCC(=O)OC
75003,CCCl
352329,C1=CC=C(C=C1)F
589617,CC1CCCCC1OC(=O)C
78886,C=C(CCl)Cl
149111,CCCCC(CC)C(=O)O
590012,CCCCOC(=O)CC
2027170,CC(C)C1=CC2=CC=CC=C2C=C1
3172529,C1=C(SC(=C1)Cl)Cl
3852093,COCCC(=O)OC
565673,CCC(C(C)C)O
87616,C1=CC(=C(C(=C1)Cl)Cl)Cl
110838,C1CCC=CC1
106423,CC1=CC=C(C=C1)C
100696,C=CC1=CC=CC=N1
363724,C1=C(C(=C(C(=C1F)F)F)F)F
292648,C1CCCCCCC1
79367,C(C(=O)Cl)(Cl)Cl
132649,C1=CC=C2C(=C1)C3=CC=CC=C3O2
71238,CCCO
108485,CC1=NC(=CC=C1)C
142961,CCCCOCCCC
306832,C(C(F)(F)F)(Cl)Cl
75218,C1CO1
78706,CC(=CCCC(C)(C=C)O)C
629732,CCCCCCCCCCCCCCC=C
3710303,C=CCCCCC=C
107302,COCCl
105306,CCCC(C)CO
156592,C(=C\Cl)\Cl
119653,C1=CC=C2C=NC=CC2=C1
89805,C[C@@H]1CC[C@H](C(=O)C1)C(C)C
108270,CN1CCCC1=O
628513,CC(=O)OCOC(=O)C
78831,CC(C)CO
95158,C1=CC=C2C(=C1)C=CS2
502567,CCCCC(=O)CCCC
142847,CCCNCCC
335579,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F
497267,CC1OCCO1
75694,C(F)(Cl)(Cl)Cl
142290,C1CC=CC1
107415,C(CCCO)CCO
108941,C1CCC(=O)CC1
105453,CCOC(=O)CC(=O)OCC
95932,CC1=CC(=C(C=C1C)C)C
64197,CC(=O)O
76051,C(=O)(C(F)(F)F)O
116154,C(=C(F)F)(C(F)(F)F)F
920661,C(C(F)(F)F)(C(F)(F)F)O
75296,CC(C)Cl
98011,C1=COC(=C1)C=O
628557,CC(C)COCC(C)C
630024,CCCCCCCCCCCCCCCCCCCCCCCCCCCC
